symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TCS,EQ,-,1,Interim Dividend Rs 11 Per Share/ Special Dividend Rs 46 Per Share,16-Jan-2026,17-Jan-2026,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
GILLETTE,EQ,-,10,Interim Dividend - Rs 120 Per Share/Special Dividend - Rs 60 Per Share,04-Feb-2026,04-Feb-2026,-,-,-,Gillette India Limited,INE322A01010,-,
PGHH,EQ,-,10,Interim Dividend - Rs 170 Per Share/ Special Dividend - Rs 25 Per Share,05-Feb-2026,05-Feb-2026,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHL,EQ,-,10,Interim Dividend - Rs 110 Per Share & Special Dividend Rs 50 Per Share,12-Feb-2026,12-Feb-2026,-,-,-,Procter & Gamble Health Limited,INE199A01012,-,
GATEWAY,EQ,-,10,Interim Dividend - Re 0.75 Per Share & Special Dividend Rs 1.25 Per Share,12-Feb-2026,12-Feb-2026,-,-,-,Gateway Distriparks Limited,INE079J01017,-,
ESCORTS,EQ,-,10,Special Dividend - Rs 18 Per Share,16-Feb-2026,16-Feb-2026,-,-,-,Escorts Kubota Limited,INE042A01014,-,
