symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
FAIRCHEMOR,EQ,-,10,Buy Back,05-Jan-2026,05-Jan-2026,-,-,-,Fairchem Organics Limited,INE0DNW01011,-,
MATRIMONY,EQ,-,5,Buy Back,30-Jan-2026,30-Jan-2026,-,-,-,Matrimony.Com Limited,INE866R01028,-,
GOCOLORS,EQ,-,10,Buy Back,09-Feb-2026,09-Feb-2026,-,-,-,Go Fashion (India) Limited,INE0BJS01011,-,
